名字,品质,图片,价格,重量,长x宽
简易注射器,白,https://playerhub.df.qq.com/playerhub/60004/object/14020000001.png,2390,0,1x1
车载急救包,白,https://playerhub.df.qq.com/playerhub/60004/object/14020000002.png,4600,0,1x1
强效注射器,绿,https://playerhub.df.qq.com/playerhub/60004/object/14020000003.png,10358,0,1x1
野战急救包,蓝,https://playerhub.df.qq.com/playerhub/60004/object/14020000004.png,19123,1,2x1
户外医疗箱,紫,https://playerhub.df.qq.com/playerhub/60004/object/14020000005.png,83844,1,3x1
战地医疗箱,金,https://playerhub.df.qq.com/playerhub/60004/object/14020000006.png,272927,1,2x2
简易手术包,白,https://playerhub.df.qq.com/playerhub/60004/object/14030000001.png,3548,0,1x1
战术快拆手术包,绿,https://playerhub.df.qq.com/playerhub/60004/object/14030000002.png,13085,0,2x1
DEK野战手术包,紫,https://playerhub.df.qq.com/playerhub/60004/object/14030000003.png,41171,1,3x1
CAT止血带,白,https://playerhub.df.qq.com/playerhub/60004/object/14040000001.png,3958,0,1x1
弹力绷带,白,https://playerhub.df.qq.com/playerhub/60004/object/14040000002.png,1646,0,1x1
缓释止痛片,白,https://playerhub.df.qq.com/playerhub/60004/object/14050000001.png,3013,0,1x1
瓶装抗生素,绿,https://playerhub.df.qq.com/playerhub/60004/object/14050000002.png,10020,0,1x1
DVE止疼片,紫,https://playerhub.df.qq.com/playerhub/60004/object/14050000003.png,35811,0,1x1
精密头盔维修包,金,https://playerhub.df.qq.com/playerhub/60004/object/14060000001.png,189926,2,3x1
精密护甲维修包,金,https://playerhub.df.qq.com/playerhub/60004/object/14060000002.png,266559,3,2x2
高级头盔维修组合,红,https://playerhub.df.qq.com/playerhub/60004/object/14060000003.png,461482,3,2x2
高级护甲维修组合,红,https://playerhub.df.qq.com/playerhub/60004/object/14060000004.png,508434,4,2x2
标准头盔维修包,紫,https://playerhub.df.qq.com/playerhub/60004/object/14060000005.png,85556,2,2x1
标准护甲维修包,紫,https://playerhub.df.qq.com/playerhub/60004/object/14060000006.png,78955,2,3x1
自制头盔维修包,蓝,https://playerhub.df.qq.com/playerhub/60004/object/14060000007.png,24213,1,2x1
自制护甲维修包,蓝,https://playerhub.df.qq.com/playerhub/60004/object/14060000008.png,31343,1,2x1
M1肌肉强化针,蓝,https://playerhub.df.qq.com/playerhub/60004/object/14070000001.png,23528,0,1x1
M2肌肉注射剂,紫,https://playerhub.df.qq.com/playerhub/60004/object/14070000003.png,70163,0,1x1
感知激活针,蓝,https://playerhub.df.qq.com/playerhub/60004/object/14070000004.png,31195,0,1x1
感知强化剂,紫,https://playerhub.df.qq.com/playerhub/60004/object/14070000005.png,82883,0,1x1
体能激活针,蓝,https://playerhub.df.qq.com/playerhub/60004/object/14070000006.png,42112,0,1x1
体能强化剂,紫,https://playerhub.df.qq.com/playerhub/60004/object/14070000007.png,99851,0,1x1
OE2战斗兴奋剂,蓝,https://playerhub.df.qq.com/playerhub/60004/object/14070000008.png,46125,0,1x1
去甲肾上腺素,蓝,https://playerhub.df.qq.com/playerhub/60004/object/14070000009.png,14870,0,1x1
普罗透斯干扰器,紫,https://playerhub.df.qq.com/playerhub/60004/object/14070000016.png,,0,1x1
特殊装备补给,紫,https://playerhub.df.qq.com/playerhub/60004/object/14070000017.png,,0,2x1
哈夫克脑机液-“超体”,金,https://playerhub.df.qq.com/playerhub/60004/object/14070000018.png,,0,1x1
哈夫克端脑止疼剂,金,https://playerhub.df.qq.com/playerhub/60004/object/14070000019.png,,0,1x1
